Date,Asset_ID,Category,Zone,Repair_Cost,Downtime_Hours,Risk_Score,Inventory_Stock,Total_Loss,Efficiency_Rating
2026-06-22 00:59:40.988113,AST-320,Hydraulic,Riyadh Supply Hub,4080.41,73,1.4,244,12411.247083333332,93.0
2026-06-21 00:59:40.988113,AST-372,Structural,Dammam Logistics Park,8289.36,33,3.5,207,11397.87,82.5
2026-06-20 00:59:40.988113,AST-338,Structural,Jeddah Islamic Port,2592.97,6,9.6,119,648.2425,52.0
2026-06-19 00:59:40.988113,AST-317,Telemetry,Jeddah Islamic Port,7171.29,67,9.0,115,20019.85125,55.0
2026-06-18 00:59:40.988113,AST-303,Structural,Dammam Logistics Park,5922.56,57,5.1,155,14066.080000000002,74.5
2026-06-17 00:59:40.988113,AST-388,Hydraulic,Jeddah Islamic Port,3872.08,74,6.6,187,11938.913333333334,67.0
2026-06-16 00:59:40.988113,AST-359,Telemetry,Dammam Logistics Park,4858.25,28,3.5,84,5667.958333333334,82.5
2026-06-15 00:59:40.988113,AST-313,Hydraulic,Jubail Industrial City,3549.66,35,2.7,99,5176.5875,86.5
2026-06-14 00:59:40.988113,AST-308,Telemetry,Dammam Logistics Park,6392.11,20,5.2,207,5326.758333333333,74.0
2026-06-13 00:59:40.988113,AST-389,Telemetry,Dammam Logistics Park,2152.75,35,4.2,122,3139.427083333333,79.0
2026-06-12 00:59:40.988113,AST-352,Electrical,Jeddah Islamic Port,1541.48,9,6.3,148,578.0550000000001,68.5
2026-06-11 00:59:40.988113,AST-301,Hydraulic,Jeddah Islamic Port,6523.16,72,1.7,12,19569.48,91.5
2026-06-10 00:59:40.988113,AST-383,Structural,Yanbu Industrial City,3054.19,23,9.8,136,2926.9320833333336,51.0
2026-06-09 00:59:40.988113,AST-391,Structural,Yanbu Industrial City,2067.53,63,9.9,108,5427.266250000001,50.5
2026-06-08 00:59:40.988113,AST-359,Hydraulic,Jubail Industrial City,4674.27,48,7.3,136,9348.54,63.5
2026-06-07 00:59:40.988113,AST-370,Structural,Yanbu Industrial City,1906.15,35,5.8,188,2779.8020833333335,71.0
2026-06-06 00:59:40.988113,AST-343,Structural,Dammam Logistics Park,8592.94,23,3.8,29,8234.900833333335,81.0
2026-06-05 00:59:40.988113,AST-307,Hydraulic,Jeddah Islamic Port,1720.93,22,8.3,199,1577.5191666666667,58.5
2026-06-04 00:59:40.988113,AST-346,Telemetry,Yanbu Industrial City,6130.92,61,7.2,100,15582.755,64.0
2026-06-03 00:59:40.988113,AST-334,Hydraulic,Yanbu Industrial City,5007.79,36,2.5,199,7511.6849999999995,87.5
2026-06-02 00:59:40.988113,AST-377,Telemetry,Jubail Industrial City,6876.21,11,9.2,159,3151.59625,54.0
2026-06-01 00:59:40.988113,AST-380,Structural,Jazan Port,4125.22,54,8.4,97,9281.745,58.0
2026-05-31 00:59:40.988113,AST-335,Structural,Jubail Industrial City,2740.33,12,9.5,164,1370.165,52.5
2026-05-30 00:59:40.988113,AST-349,Structural,Dammam Logistics Park,9354.73,22,7.5,182,8575.169166666667,62.5
2026-05-29 00:59:40.988113,AST-303,Electrical,Jeddah Islamic Port,8211.47,29,6.5,65,9922.192916666665,67.5
2026-05-28 00:59:40.988113,AST-301,Telemetry,Jubail Industrial City,8383.24,16,4.8,126,5588.826666666666,76.0
2026-05-27 00:59:40.988113,AST-305,Electrical,Yanbu Industrial City,3502.01,61,9.4,55,8900.942083333333,53.0
2026-05-26 00:59:40.988113,AST-353,Electrical,Jeddah Islamic Port,1810.68,12,8.8,151,905.34,56.0
2026-05-25 00:59:40.988113,AST-303,Hydraulic,Jeddah Islamic Port,3926.12,58,1.4,25,9488.123333333333,93.0
2026-05-24 00:59:40.988113,AST-353,Electrical,Yanbu Industrial City,5796.66,18,1.2,9,4347.495,94.0
2026-05-23 00:59:40.988113,AST-392,Hydraulic,Jubail Industrial City,4113.21,48,4.4,214,8226.42,78.0
2026-05-22 00:59:40.988113,AST-362,Hydraulic,Yanbu Industrial City,8122.95,11,8.3,96,3723.0187499999997,58.5
2026-05-21 00:59:40.988113,AST-317,Electrical,Jazan Port,3672.34,60,9.9,174,9180.85,50.5
2026-05-20 00:59:40.988113,AST-389,Telemetry,Jeddah Islamic Port,9222.01,18,2.4,65,6916.5075,88.0
2026-05-19 00:59:40.988113,AST-343,Telemetry,Riyadh Supply Hub,5158.12,75,6.3,26,16119.125,68.5
2026-05-18 00:59:40.988113,AST-333,Telemetry,Riyadh Supply Hub,8236.18,8,4.4,153,2745.3933333333334,78.0
2026-05-17 00:59:40.988113,AST-373,Telemetry,Dammam Logistics Park,3055.04,70,9.7,74,8910.533333333333,51.5
2026-05-16 00:59:40.988113,AST-361,Telemetry,Yanbu Industrial City,4790.83,27,8.6,5,5389.68375,57.0
2026-05-15 00:59:40.988113,AST-399,Electrical,Yanbu Industrial City,7096.1,77,8.5,137,22766.654166666667,57.5
2026-05-14 00:59:40.988113,AST-313,Electrical,Dammam Logistics Park,2606.82,51,5.2,237,5539.4925,74.0
2026-05-13 00:59:40.988113,AST-394,Structural,Dammam Logistics Park,2561.96,15,4.7,16,1601.225,76.5
2026-05-12 00:59:40.988113,AST-347,Telemetry,Dammam Logistics Park,9256.29,68,3.5,94,26226.155000000002,82.5
2026-05-11 00:59:40.988113,AST-314,Electrical,Jeddah Islamic Port,7216.76,11,1.5,50,3307.681666666667,92.5
2026-05-10 00:59:40.988113,AST-371,Structural,Jazan Port,1828.54,24,8.8,38,1828.54,56.0
2026-05-09 00:59:40.988113,AST-377,Telemetry,Yanbu Industrial City,4690.57,51,8.3,181,9967.46125,58.5
2026-05-08 00:59:40.988113,AST-386,Hydraulic,Jeddah Islamic Port,4968.17,52,10.0,82,10764.368333333332,50.0
2026-05-07 00:59:40.988113,AST-361,Structural,Dammam Logistics Park,7452.34,22,10.0,222,6831.3116666666665,50.0
2026-05-06 00:59:40.988113,AST-339,Electrical,Yanbu Industrial City,3506.88,15,6.0,49,2191.8,70.0
2026-05-05 00:59:40.988113,AST-384,Hydraulic,Jeddah Islamic Port,2974.67,56,7.9,159,6940.896666666667,60.5
2026-05-04 00:59:40.988113,AST-379,Hydraulic,Jazan Port,2146.98,38,9.5,77,3399.3849999999998,52.5
2026-05-03 00:59:40.988113,AST-381,Hydraulic,Jeddah Islamic Port,4926.52,52,8.6,30,10674.126666666667,57.0
2026-05-02 00:59:40.988113,AST-352,Structural,Jazan Port,7008.0,41,3.2,51,11972.0,84.0
2026-05-01 00:59:40.988113,AST-323,Electrical,Dammam Logistics Park,1965.55,57,5.1,125,4668.18125,74.5
2026-04-30 00:59:40.988113,AST-325,Hydraulic,Jazan Port,8821.71,38,2.2,218,13967.707499999999,89.0
2026-04-29 00:59:40.988113,AST-388,Telemetry,Yanbu Industrial City,5038.82,13,9.6,243,2729.360833333333,52.0
2026-04-28 00:59:40.988113,AST-359,Hydraulic,Dammam Logistics Park,3418.3,4,6.5,60,569.7166666666667,67.5
2026-04-27 00:59:40.988113,AST-340,Hydraulic,Yanbu Industrial City,2250.99,34,3.1,98,3188.9024999999997,84.5
2026-04-26 00:59:40.988113,AST-328,Structural,Riyadh Supply Hub,2962.93,74,7.0,111,9135.700833333332,65.0
2026-04-25 00:59:40.988113,AST-314,Structural,Jubail Industrial City,8976.91,17,6.6,67,6358.644583333334,67.0
2026-04-24 00:59:40.988113,AST-344,Electrical,Jazan Port,6606.16,75,4.2,52,20644.25,79.0
2026-04-23 00:59:40.988113,AST-364,Telemetry,Jubail Industrial City,5633.57,8,2.0,65,1877.8566666666666,90.0
2026-04-22 00:59:40.988113,AST-388,Structural,Jubail Industrial City,6756.89,73,7.0,85,20552.207083333335,65.0
2026-04-21 00:59:40.988113,AST-370,Hydraulic,Jazan Port,4985.38,57,5.7,30,11840.2775,71.5
2026-04-20 00:59:40.988113,AST-308,Electrical,Dammam Logistics Park,7340.31,16,8.0,40,4893.54,60.0
2026-04-19 00:59:40.988113,AST-387,Hydraulic,Riyadh Supply Hub,1881.73,6,5.7,5,470.4325,71.5
2026-04-18 00:59:40.988113,AST-300,Hydraulic,Yanbu Industrial City,6028.3,45,8.7,12,11303.0625,56.5
2026-04-17 00:59:40.988113,AST-307,Structural,Jeddah Islamic Port,2769.17,12,6.0,117,1384.585,70.0
2026-04-16 00:59:40.988113,AST-387,Electrical,Yanbu Industrial City,2461.32,39,6.0,103,3999.6450000000004,70.0
2026-04-15 00:59:40.988113,AST-362,Telemetry,Jeddah Islamic Port,4235.04,41,8.9,184,7234.86,55.5
2026-04-14 00:59:40.988113,AST-310,Telemetry,Yanbu Industrial City,2234.39,8,4.6,211,744.7966666666666,77.0
2026-04-13 00:59:40.988113,AST-380,Structural,Jazan Port,2253.26,49,2.2,51,4600.405833333333,89.0
2026-04-12 00:59:40.988113,AST-307,Structural,Riyadh Supply Hub,3991.31,26,1.3,131,4323.919166666667,93.5
2026-04-11 00:59:40.988113,AST-334,Electrical,Jeddah Islamic Port,9336.08,65,7.8,60,25285.216666666667,61.0
